NEWCASEID,Q1,Q2,Q3_A,Q3_B,Q3_C,Q3_D,Q4,Q5,Q6_A,Q6_B,Q6_C,Q6_D,Q6_E,Q8,Q9A,Q9B,Q9C,Q10,Q11,Q12,OFTVOTE,SNS,PARTY,PARTYLN,IDEO,SEX,MARITAL,Q16,Q17_A,Q17_B,Q17_C,Q17_D,Q17_E,Q17_F,Q17_G,Q24,Q25,QR2,LGBT,Q27,Q31,Q32,Q32A_Codes,Q32A_posOE1,Q32A_posOE2,Q32A_posOE3,Q32A_posOE4,Q32A_negOE1,Q32A_negOE2,Q32A_negOE3,Q33_A,Q33_B,Q33_C,Q33_D,Q39,Q40,Q41,Q42,Q44,Q44new_OE1,Q44new_OE2,Q44new_OE3,q44aNEW,q44compNEW,Q44B,Q44C,Q45,Q45new_OE1,Q45new_OE2,Q45new_OE3,q45aNEW,q45compNEW,Q45B,Q45C,Q46,q46aNEW,q46compNEW,Q47,q47aNEW,q47compNEW,Q48,Q49,q52oe_1,q52oe_2,q52oe_3,Q53,Q54,Q55,Q56_A,Q56_B,Q56_C,Q56_D,Q56_E,Q56_F,Q56_G,Q63_A,Q63_B,Q63_C,Q63_D,Q63_E,Q63_F,Q64_OE1,Q64_OE2,Q64_OE3,Q65_A,Q65_B,Q65_C,Q65_D,Q65_E,Q66_A,Q66_B,Q66_C,Q66_D,Q66_E,Q66_F,Q67,Q68,Q70,Q71,Q72,Q73,Q74,Q80_A,Q80_B,Q80_C,Q80_D,Q80_E,Q80_F,Q80_G,Q82_A,Q82_B,Q82_C,Q82_D,Q82_E,Q82_F,Q83_A,Q83_B,Q83_C,Q83_D,Q83_E,Q83_F,Q84,Q85,Q85a,Q86,Q87,Q88,Q89,Q90,Q92,Q93,Q94,Q95,Q96,EMPLOY2,Q98,Q99,Q102A,Q102B,Q102C,Q102D,USBORN,religNEW,CHR,BORN,ATTEND,IMP,REG,INCOME,ppagecat,PPEDUCAT,PPETHM,PPHHHEAD,PPHHSIZEnew,PPT017,PPMSACAT,PPRENT,PPNET,weight,duration
21.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,,2.0,1.0,4.0,3.0,-1.0,,,,,,,,2.0,,2.0,3.0,12.0,,15.0,22.0,2.0,2.0,,,,2.0,,,2.0,2.0,,,,2.0,,,2.0,,2.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,,,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,,1.0,,,2.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,4.0,2.0,1.0,7.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1417,18.0
22.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,,3.0,3.0,5.0,3.0,-1.0,,,,,,,,2.0,3.0,,4.0,43.0,,-99.0,-99.0,3.0,,,,1.0,3.0,,,3.0,,,,1.0,3.0,,,3.0,1.0,3.0,2.0,,2.0,1.0,3.0,99.0,,,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,999.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,2.0,3.0,,,,,1.0,2.0,,,,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,5.0,3.0,1.0,8.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.1417,18.0
23.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,4.0,2.0,,,,,,2.0,1.0,,1.0,,3.0,3.0,11.0,,15.0,-99.0,2.0,3.0,,,,2.0,,,2.0,3.0,,,,2.0,,,2.0,,2.0,2.0,,2.0,2.0,3.0,1.0,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,,,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,,1.0,,,,,2.0,,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,6.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,18.0
24.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,,2.0,1.0,4.0,3.0,-1.0,,,,,,,,2.0,,2.0,3.0,13.0,,16.0,19.0,1.0,,,,,1.0,1.0,3.0,2.0,8.0,1.0,,,2.0,,,1.0,,1.0,3.0,1.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,60.0,44.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,,,1.0,2.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,2.0,5.0,3.0,1.0,8.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,18.0
25.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,,1.0,5.0,3.0,3.0,-1.0,,,,,,,,,2.0,2.0,3.0,16.0,,28.0,29.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,99.0,,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,999.0,,,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,,,2.0,,,,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,,,6.0,4.0,1.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,18.0
26.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,-1.0,3.0,1.0,6.0,2.0,1.0,2.0,2.0,2.0,-1.0,1.0,2.0,4.0,2.0,,3.0,2.0,5.0,3.0,-1.0,,,,,,,,2.0,2.0,,2.0,10.0,,17.0,18.0,2.0,1.0,,,,2.0,,,2.0,1.0,,,,2.0,,,2.0,,2.0,2.0,,2.0,1.0,2.0,2.0,,,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,999.0,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,,,,,2.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,2.0,1.0,-1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1417,19.0
27.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,5.0,2.0,1.0,,1.0,,,,,,,,1.0,1.0,2.0,11.0,,13.0,16.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,42.0,6.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,1.0,2.0,1.0,2.0,,,1.0,2.0,,2.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.1417,19.0
28.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,,4.0,2.0,2.0,,1.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,,3.0,3.0,4.0,3.0,-1.0,,,,,,,,2.0,2.0,,3.0,14.0,,15.0,17.0,1.0,,,,,1.0,2.0,3.0,3.0,,,,1.0,3.0,,,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,4.0,,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,998.0,,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,1.0,1.0,3.0,1.0,,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,,6.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,0.1417,19.0
29.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,,3.0,3.0,3.0,3.0,-1.0,,,,,,,,2.0,2.0,,2.0,12.0,,12.0,13.0,1.0,,,,,1.0,2.0,3.0,3.0,,,,1.0,3.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,12.0,5.0,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,997.0,,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,-1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,,5.0,4.0,1.0,4.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,0.1417,19.0
30.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,4.0,2.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,,3.0,3.0,4.0,3.0,-1.0,,,,,,,,2.0,2.0,,3.0,14.0,,23.0,14.0,2.0,2.0,,,,2.0,,,2.0,2.0,,,,2.0,,,3.0,1.0,3.0,2.0,,2.0,1.0,2.0,1.0,4.0,,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,42.0,48.0,,2.0,2.0,2.0,1.0,3.0,-1.0,3.0,2.0,3.0,3.0,2.0,2.0,,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,,1.0,,1.0,,2.0,,2.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,,5.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.1417,20.0
31.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,3.0,2.0,2.0,,2.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,,1.0,5.0,4.0,3.0,-1.0,,,,,,,,,3.0,3.0,3.0,19.0,,27.0,27.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,3.0,2.0,,2.0,1.0,1.0,2.0,,,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,7.0,26.0,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,,1.0,2.0,,,2.0,2.0,,2.0,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,2.0,1.0,7.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,20.0
32.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,,3.0,2.0,5.0,3.0,-1.0,,,,,,,,2.0,2.0,,3.0,14.0,,20.0,34.0,2.0,3.0,,,,2.0,,,2.0,,,,,3.0,,,1.0,,1.0,1.0,,1.0,1.0,3.0,5.0,7.0,,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,42.0,100.0,7.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,,,,,1.0,2.0,,,,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.1417,21.0
33.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,5.0,2.0,1.0,,1.0,,,,,,,,2.0,3.0,2.0,12.0,,21.0,21.0,1.0,,,,,1.0,2.0,3.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,123.0,90.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,,1.0,2.0,2.0,2.0,2.0,-1.0,1.0,1.0,2.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,,1.0,2.0,,,2.0,2.0,,2.0,,,3.0,,,2.0,2.0,2.0,1.0,1.0,6.0,,,3.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,21.0
34.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,2.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,,2.0,1.0,3.0,3.0,-1.0,,,,,,,,2.0,,2.0,2.0,16.0,,18.0,35.0,1.0,,,,,1.0,1.0,3.0,2.0,1.0,3.0,,,2.0,,,2.0,,2.0,1.0,,1.0,1.0,1.0,5.0,,,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,140.0,90.0,6.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,3.0,,1.0,,,2.0,,,,,4.0,,,2.0,1.0,1.0,2.0,1.0,4.0,2.0,,5.0,4.0,1.0,8.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,21.0
35.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,,1.0,5.0,3.0,2.0,,,,,,2.0,,,,2.0,3.0,3.0,11.0,,18.0,18.0,3.0,,,,1.0,3.0,,,1.0,,,,,1.0,2.0,3.0,1.0,,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,110.0,,,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,2.0,4.0,,,2.0,2.0,1.0,1.0,1.0,6.0,,,6.0,4.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1417,23.0
36.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,5.0,1.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,,2.0,2.0,2.0,1.0,,1.0,,,,,,,1.0,,2.0,2.0,14.0,,16.0,30.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,3.0,2.0,,2.0,2.0,,2.0,2.0,2.0,99.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,999.0,,,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,3.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,,2.0,,,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,6.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,0.1417,24.0
37.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,5.0,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,2.0,2.0,10.0,,30.0,32.0,2.0,,,,,3.0,,,2.0,,,,,3.0,,,1.0,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,90.0,119.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,3.0,,,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,4.0,1.0,1.0,6.0,6.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.1417,24.0
38.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,,3.0,3.0,4.0,3.0,-1.0,,,,,,,,1.0,2.0,,2.0,6.0,,23.0,25.0,1.0,,,,,1.0,1.0,3.0,1.0,,,,,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,,,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,,,2.0,2.0,,2.0,,1.0,4.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,6.0,2.0,1.0,6.0,2.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.1417,25.0
39.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,,2.0,1.0,2.0,3.0,-1.0,,,,,,,,2.0,,3.0,2.0,14.0,,33.0,33.0,2.0,,,,,3.0,,,2.0,7.0,,,,2.0,,,3.0,1.0,3.0,1.0,,1.0,1.0,2.0,12.0,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,997.0,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,,2.0,,1.0,,,1.0,2.0,,,,3.0,,,2.0,1.0,2.0,1.0,1.0,3.0,,,6.0,4.0,1.0,1.0,6.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.1417,27.0
40.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,,3.0,5.0,3.0,1.0,,5.0,,,,,,,2.0,2.0,,2.0,16.0,,50.0,59.0,2.0,6.0,,,,2.0,,,2.0,6.0,7.0,,,2.0,,,2.0,,2.0,1.0,,1.0,2.0,3.0,5.0,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,90.0,122.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,,,,,,,2.0,,,,,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,5.0,4.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.1417,27.0
